Invoice Id,Supplier,Sku,Managing Account,Amount,Description,Segment Code,Segment Title,Family Code,Family Title,Class Code,Class Title,UNSPSC Category ID,UNSPSC Category Name,Confidence,Source,Matched Rule
1,Acme Supplies,Wheat seeds,Account1,$850,vegetable seeds,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10150000,Seeds and bulbs and seedlings and cuttings,10151500,Vegetable seeds and seedlings,0.95,GenAI,
2,Global Industries,Barley seeds,Account2,$920,cereal seeds,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10150000,Seeds and bulbs and seedlings and cuttings,10151600,Cereal seeds,1.0,Rule,cereal seeds
3,GreenFields Co,Ammonium nitrate fertilizer,Account3,"$1,200",fertilizer,10000000,Live Plant and Animal Material and Accessories and Supplies,10170000,Fertilizers and plant nutrients and herbicides,10171600,Chemical fertilizers and plant nutrients,10171602,Potassic fertilizer,0.95,GenAI,
4,BuildRight Inc,Steel beam,Account4,"$4,500",construction materials,,,,,C,Components & Supplies,30000000,Structures and Building and Construction and Manufacturing Components and Supplies,0.85,GenAI,
5,ToolMasters,Electric drill,Account5,$350,power tool,B,Industrial Equipment & Tools,27000000,Tools and General Machinery,27110000,Hand tools,27112700,Power tools,0.95,GenAI,
6,MedTech Solutions,Latex gloves,Account1,$180,medical gloves,E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals",42000000,Medical Equipment and Accessories and Supplies,42130000,Medical apparel and textiles,42132200,Medical gloves and accessories,0.95,GenAI,
7,LabWorks LLC,Surgical mask,Account2,$75,protective mask,46000000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,46180000,Personal safety and protection,46182000,Respiratory protection,46182001,Masks or accessories,0.85,GenAI,
8,CleanWell Ltd,Broom,Account3,$45,floor cleaning tool,47000000,Cleaning Equipment and Supplies,47130000,Cleaning and janitorial supplies,47131800,Cleaning and disinfecting solutions,47131801,Floor cleaners,0.95,GenAI,
9,FreshFoods Ltd,Disposable plates,Account4,$120,foodservice disposables,I," Personal, Domestic & Consumer Equipment & Supplies",52000000,Domestic Appliances and Supplies and Consumer Electronic Products,52150000,Domestic kitchenware and kitchen supplies,52151500,Domestic disposable kitchenware,0.95,GenAI,
10,TechGear,Desktop computer,Account5,"$2,200",office computer,,,G,"Business, Communication & Technology Equipment & Supplies",44000000,Office Equipment and Accessories and Supplies,44100000,Office machines and their supplies and accessories,1.0,Rule,office computer
11,NetConnect,Router,Account1,$300,network router,43000000,Information Technology Broadcasting and Telecommunications,43220000,Data Voice or Multimedia Network Equipment or Platforms and Accessories,43222600,Network service equipment,43222609,Network routers,0.95,GenAI,
12,PrintPro,Printer ink,Account2,$230,ink cartridge,44000000,Office Equipment and Accessories and Supplies,44100000,Office machines and their supplies and accessories,44103100,Printer and facsimile and photocopier supplies,44103105,Ink cartridges,0.95,GenAI,
13,OfficeEssentials,Printer paper,Account3,$110,copy paper,A,"Raw Materials, Chemicals, Paper, Fuel",14000000,Paper Materials and Products,14120000,Industrial use papers,14121500,Paperboard and packaging papers,0.85,GenAI,
14,SecureSafe,Fire alarm system,Account4,"$1,750",fire safety equipment,H,"Defense, Security & Safety Equipment & Supplies",46000000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,46190000,Fire protection,46191600,Fire fighting equipment,0.95,GenAI,
15,WatchGuard,CCTV camera,Account5,$550,surveillance camera,46000000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,46170000,Security surveillance and detection,46171600,Surveillance and detection equipment,46171610,Security cameras,0.85,GenAI,
16,HomeComforts,Refrigerator,Account1,"$1,300",kitchen appliance,I," Personal, Domestic & Consumer Equipment & Supplies",52000000,Domestic Appliances and Supplies and Consumer Electronic Products,52140000,Domestic appliances,52141500,Domestic kitchen appliances,0.95,GenAI,
17,KitchenPro,Cookware set,Account2,$400,kitchenware,,,I," Personal, Domestic & Consumer Equipment & Supplies",52000000,Domestic Appliances and Supplies and Consumer Electronic Products,52150000,Domestic kitchenware and kitchen supplies,0.85,GenAI,
19,MaintMasters,HVAC servicing,Account5,"$1,100",maintenance service,J,Services,72000000,Building and Facility Construction and Maintenance Services ,72100000,Building and facility maintenance and repair services,72102900,Facility maintenance and repair services,0.85,GenAI,
20,FreshFoods Ltd,Live chickens,Account1,$320,live poultry,10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101600,Birds and fowl,10101601,Live chickens,0.95,GenAI,
21,AgriSource,Live salmon,Account2,$450,live fish,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101700,Live fish,0.85,GenAI,
22,PestControl Inc,Silkworms,Account3,$210,live insects,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,Insects,0.95,GenAI,
23,PetWorld,Cats,Account4,$150,live animals (cats),,,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,0.95,GenAI,
24,GreenFields Co,Bean seeds,Account1,$95,legume seeds,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10150000,Seeds and bulbs and seedlings and cuttings,10152300,Legume seeds and seedlings,0.85,GenAI,
25,GreenFields Co,Carrot seeds,Account2,$85,vegetable seeds,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10150000,Seeds and bulbs and seedlings and cuttings,10151500,Vegetable seeds and seedlings,0.95,GenAI,
26,OfficeEssentials,Office chair,Account3,$780,furniture,I," Personal, Domestic & Consumer Equipment & Supplies",56000000,Furniture and Furnishings,56110000,Commercial and industrial furniture,56111800,Freestanding furniture,0.85,GenAI,
27,FurnitureHub,Desk lamp,Account4,$145,lighting fixture,39000000,Electrical Systems and Lighting and Components and Accessories and Supplies,39110000,Lighting Fixtures and Accessories,39111500,Interior lighting fixtures and accessories ,39111530,Commercial downlighting fixture,0.85,GenAI,
28,CleanWell Ltd,Dishwasher,Account5,$900,kitchen cleaning machine,F,"Food, Cleaning & Service Industry Equipment & Supplies",47000000,Cleaning Equipment and Supplies,47120000,Janitorial equipment,47121800,Cleaning equipment,0.85,GenAI,
29,MedTech Solutions,Test tubes,Account1,$60,lab glassware,E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals",41000000,Laboratory and Measuring and Observing and Testing Equipment,41120000,Laboratory supplies and fixtures,41121800,General laboratory glassware and plasticware and supplies,0.95,GenAI,
30,LabWorks LLC,Beakers,Account2,$55,lab container,E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals",41000000,Laboratory and Measuring and Observing and Testing Equipment,41120000,Laboratory supplies and fixtures,41123300,General laboratory storage containers and cabinets,0.85,GenAI,
31,SecureSafe,Bicycle helmet,Account3,$70,safety gear,H,"Defense, Security & Safety Equipment & Supplies",46000000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,46180000,Personal safety and protection,46181500,Safety apparel,0.85,GenAI,
32,HealthFirst,First aid kit,Account4,$130,medical kit,,,,,E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals",42000000,Medical Equipment and Accessories and Supplies,0.85,GenAI,
33,ServicePlus,Software license,Account5,"$2,000",software subscription,81000000,Engineering and Research and Technology Based Services,81110000,Computer services,81112500,Computer software licensing rental or leasing service,81112501,Computer software licensing service,0.85,GenAI,
34,PrintPro,Laser printer,Account1,"$1,100",printing hardware,,,G,"Business, Communication & Technology Equipment & Supplies",45000000,Printing and Photographic and Audio and Visual Equipment and Supplies,45100000,Printing and publishing equipment,0.95,GenAI,
35,NetConnect,Network switch,Account2,$420,switching equipment,43000000,Information Technology Broadcasting and Telecommunications,43220000,Data Voice or Multimedia Network Equipment or Platforms and Accessories,43223100,Digital mobile network infrastructure equipment and components,43223109,IN SSP switching equipment,0.85,GenAI,
36,ToolMasters,Hand saw,Account5,$120,hand tool,,,B,Industrial Equipment & Tools,27000000,Tools and General Machinery,27110000,Hand tools,0.85,GenAI,
37,NatureSeeds,Zucchini seeds,Account5,$830,vegetable seeds,A,"Raw Materials, Chemicals, Paper, Fuel",10000000,Live Plant and Animal Material and Accessories and Supplies,10150000,Seeds and bulbs and seedlings and cuttings,10151500,Vegetable seeds and seedlings,0.95,GenAI,
38,AgriSource,Delta-100,Account1,$1250,high-precision industrial widget for general use,,,B,Industrial Equipment & Tools,23000000,Industrial Manufacturing and Processing Machinery and Accessories,23290000,Industrial machine tools,0.85,GenAI,
40,FarmGrow Ltd,ServiceX Pro,Account5,$2300,comprehensive service package including installation and maintenance,81000000,Engineering and Research and Technology Based Services,81110000,Computer services,81111800,System and system component administration services ,81111812,Computer hardware maintenance support service,0.85,GenAI,
18,AutoParts Co,Hydraulic jack,Account3,$640,garage equipment,,,,,,,72121301,,1.0,GenAI,
